Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.Application;0;0;0;0;1;3,0;90,0;0,0067;10;8;30,0;1;3;79,2493;1;1;0;1;0;15;0;1;15;0;0;2;0,0;1,0;1
com.example.base.ui.MainErrorHandler;4;0;0;1;1;15,0;2875,3046;0,0674;38;33;191,687;1;15;58,373;14;8;0;1;1;15;0;1;14;0;0;16;0,0;1,0;1
com.example.base.ui.MainLayout;12;2;0;0;3;18,3158;7255,2016;0,1249;73;43;396,1173;2;27;50,3707;19;18;0;3;11;100;N/A;4;97;0;0;21;0,0;1,0;5
com.example.base.ui.component.ViewToolbar;12;1;2;0;3;12,1136;4411,5331;0,0897;71;35;364,1791;1;23;52,2147;10;16;0;1;9;79;N/A;2;78;0;0;8;0,0;1,0;3
com.example.controller.CurrencyConversionController;0;0;2;1;1;4,2;225,8526;0,0124;15;12;53,7744;1;8;68,1334;1;2;0;1;1;16;0;2;15;0;0;3;0,0;1,0;2
com.example.controller.EmailController;0;0;1;1;1;6,4286;551,8075;0,0224;21;17;85,8367;1;8;66,697;1;3;0;1;1;16;0;2;15;0;0;3;0,0;1,0;2
com.example.controller.RelatorioController;3;4;3;2;1;18,7826;7844,4693;0,1316;74;50;417,6454;1;23;51,7326;23;13;0;1;2;17;0;2;15;0;0;17;0,0;1,0;5
com.example.examplefeature.CurrencyConversionDTO;0;0;3;3;1;5,25;861,4694;0,0302;42;15;164,0894;4;25;53,7015;0;8;8;8;4;26;0;9;22;0;0;9;0,1429;0,0;9
com.example.examplefeature.Task;1;5;4;4;1;22,2727;11941,8866;0,1742;95;50;536,1663;4;46;44,2548;11;20;5;6;5;28;0;10;23;2;0;16;0,1333;0,1667;15
com.example.examplefeature.TaskRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.TaskService;1;1;4;1;1;12,2778;1904,4615;0,0512;33;26;155,1145;1;16;58,2102;6;8;0;2;1;17;0;3;16;0;0;11;1,0;1,0;4
com.example.examplefeature.ui.TaskListView;10;0;3;5;5;39,6;31952,6039;0,3356;128;79;806,8839;1;36;45,6074;47;28;0;1;13;137;0;2;132;0;0;42;0,0;1,0;2
com.example.service.CurrencyConversionService;1;8;2;1;1;29,0;18167,5731;0,2304;111;50;626,468;1;30;47,874;20;34;0;1;1;15;0;1;14;0;0;12;0,0;1,0;11
com.example.service.EmailService;0;1;2;2;1;14,375;3715,8836;0,08;50;36;258,4963;1;18;55,5836;7;12;0;1;2;17;0;2;15;0;0;12;0,0;1,0;3
com.example.service.RelatorioPdfService;1;1;2;0;1;15,2308;3470,9862;0,0764;46;31;227,893;1;19;55,5152;10;14;0;1;0;14;0;1;14;0;0;14;0,0;1,0;2
com.example.view.CurrencyConversionView;3;6;1;1;3;39,4904;51913,0284;0,4639;203;89;1314,5739;1;75;36,9993;54;52;0;1;8;156;0;2;155;0;0;32;0,0;1,0;7
com.example.view.EmailView;2;1;0;0;3;13,0;3645,2066;0,079;52;42;280,4005;1;19;54,8225;11;12;0;1;7;155;0;2;155;0;0;16;0,0;1,0;3
com.example.view.RelatorioView;2;0;0;0;3;9,6923;1613,0041;0,0458;35;27;166,4211;0;13;60,1553;10;7;0;0;7;154;0;1;154;0;0;14;0,0;0,0;1
