Package Name;A;Ca;Ce;PAHD;PACHEF;PACHER;PACHL;PACHVC;PAHVL;I;PLOC;PAMI;PNCSS;D;PNOAC;PNOCC;PNOI;PNOSC
com;1,0;0;0;0,0;0,0;0,0;0;0;0,0;1,0;0;0,0;0;1,0;0;0;0;0
com.example;0,0;0;0;3,0;90,0;0,0067;10;8;30,0;1,0;3;79,2493;1;0,0;0;1;0;0
com.example.base;1,0;0;0;0,0;0,0;0,0;0;0;0,0;1,0;0;0,0;0;1,0;0;0;0;0
com.example.base.ui;0,0;0;0;33,3158;10130,5062;0,1923;111;76;587,8043;1,0;42;44,9593;26;0,0;0;2;0;0
com.example.base.ui.component;0,0;1;0;12,1136;4411,5331;0,0897;71;35;364,1791;0,0;23;52,2132;16;1,0;0;1;0;0
com.example.controller;0,0;0;7;38,9737;10811,3283;0,2226;155;113;786,1923;1,0;59;40,7619;30;0,0;0;4;0;0
com.example.examplefeature;0,25;6;0;39,2452;15022,9142;0,2586;175;91;883,5895;0,0;90;36,2831;37;0,75;0;3;1;0
com.example.examplefeature.ui;0,0;0;2;39,6;31952,6039;0,3356;128;79;806,8839;1,0;36;45,6041;28;0,0;0;1;0;0
com.example.service;0,0;4;1;58,6058;25354,4428;0,3867;209;119;1114,8573;0,2;67;38,4565;60;0,8;0;4;0;0
com.example.util;0,0;0;0;6,6667;732,0529;0,0271;25;21;109,8079;1,0;8;66,0115;6;0,0;0;1;0;0
com.example.view;0,0;0;1;62,1827;57171,2391;0,5887;290;158;1761,3955;1,0;107;32,681;71;0,0;0;3;0;0
